Date,Aircraft,Flight,Departure,Arrival,APU_Oil_Temperature_Max,Load_Compressor_Inlet_Temperature,,,Compensated,,,Ulaanbaatar_temp,Incheon_temp,Dubai_temp,Danang_temp
2025-07-06 23:47,HL8003,KAL197,RKSI,ZMCK,107,39,,,90.2,,,,,,
2025-07-06 17:26,HL7710,KAL720,RJTT,RKSI,102,39,,,,,,,,,
2025-07-06 17:07,HL8027,KAL952,OMDB,RKSI,103,40,,,,,,,,,
2025-07-06 15:43,HL8026,KAL672,WMKK,RKSI,100,37,,,,,,,,,
2025-07-06 15:30,HL7554,KAL486,VVPQ,RKSI,102,40,,,,,,,,,
2025-07-06 14:45,HL7587,KAL647,RKSI,WSSS,96,26,,,94.8,,,,,,
2025-07-06 14:42,HL7720,KAL658,VTBS,RKSI,107,32,,,,,,,,,
2025-07-06 13:25,HL8003,KAL498,VIDP,RKSI,111,48,,,,,,,,,
2025-07-06 10:27,HL7701,KAL689,RKSI,VDPP,97,26,,,95.8,,,,,,
2025-07-06 9:50,HL7709,KAL1350,RKPC,RKSS,102,38,,,,,,,,,
2025-07-06 8:14,HL7702,KAL633,RKSI,WADD,102,33,,,92.4,,,,,,
2025-07-06 7:41,HL8026,KAL671,RKSI,WMKK,102,37,,,87.6,,,,,,
2025-07-06 4:55,HL7710,KAL198,ZMCK,RKSI,102,37,,,,,,,,,
2025-07-06 4:47,HL8027,KAL951,RKSI,OMDB,101,36,,,87.8,,,,,,
2025-07-06 4:17,HL7585,KAL138,ZHHH,RKSI,102,37,,,,,,,,,
2025-07-06 2:33,HL7586,KAL1188,RKPC,RKSS,105,38,,,,,,,,,
2025-07-06 2:30,HL7587,KAL832,ZYTX,RKSI,100,30,,,,,,,,,
2025-07-06 2:18,HL8026,----------,----,----,96,37,,,,,,,,,
2025-07-06 1:35,HL7584,KAL1174,RKPC,RKSS,103,36,,,,,,,,,
2025-07-05 23:08,HL7554,KAL131,RKSI,ZHCC,102,38,,,86.4,,,,,,
2025-07-05 22:35,HL8002,KAL408,YBBN,RKSI,93,28,,,,,,,,,
2025-07-05 17:11,HL7710,KAL720,RJTT,RKSI,101,39,,,,,,,,,
2025-07-05 17:09,HL7701,KAL690,VDPP,RKSI,99,28,,,,,,,,,
2025-07-05 17:01,HL8027,KAL952,OMDB,RKSI,105,41,,,,,,,,,
2025-07-05 16:00,HL8003,KAL196,ZMCK,RKSI,99,31,,,,,,,,,
2025-07-05 14:46,HL8026,KAL658,VTBS,RKSI,104,39,,,,,,,,,
2025-07-05 14:42,HL7702,KAL647,RKSI,WSSS,98,32,,,89.6,,,,,,
